architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay,selected_by_val,selected_by_test
MLP-Giant,0,87,73.09,74.02,1643867340,0.0004083016055968669,0.3038229043234341,0.003652138835649389,False,False
MLP-Giant,0,88,80.34,80.69,86529693,0.0014994469120498783,0.20752503308051312,1.6713936885277606e-06,False,False
MLP-Giant,0,89,81.8,82.56,598801172,0.00869703480372562,0.0,0.0005653091737108446,False,False
MLP-Giant,0,90,72.14,72.71,752831287,0.0002905349143759694,0.19968371327627082,0.0006977344358923129,False,False
MLP-Giant,0,91,72.21,72.79,568875085,0.000367411182982999,0.0,0.006006930511547459,False,False
MLP-Giant,0,92,81.22,81.55,637722368,0.04271889536146898,0.34784421544163585,6.742707020608291e-05,False,False
MLP-Giant,0,93,78.48,79.07,673400759,0.020666646785330537,0.4806658692667415,0.0016472448823207032,False,False
MLP-Giant,0,94,81.92,82.57,1521269974,0.03748245298529949,0.17259902472043331,0.0002980056150608134,False,False
MLP-Giant,0,95,78.12,78.99,210018267,0.07132829604017954,0.43140017502652706,3.773537716128174e-06,False,False
MLP-Giant,0,96,80.83,81.49,947575992,0.04030897083406503,0.4504153314852109,9.858718778498748e-06,False,False
MLP-Giant,0,97,79.58,80.12,398516563,0.009137339674551216,0.33259545804125823,0.0017110200190713226,False,False
MLP-Giant,0,98,74.55,75.06,336370386,0.00045314020781120595,0.26961362943642697,1.2338977343154969e-06,False,False
MLP-Giant,0,99,79.53,80.3,126653091,0.00317916645541351,0.13746472819783898,0.003030284106371723,False,False
MLP-Giant,1,0,79.03,78.91,1167964360,0.013293709741588253,0.15189443928899715,1.5715101652766453e-05,False,False
MLP-Giant,1,1,81.39,82.03,981215514,0.007510007064843883,0.254582420510734,0.00014966628526986926,False,False
