architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay
MLP-Tiny,8,2,42.469470827679785,44.71544715447155,273991754,0.0003510788106365,1.2905144135782288e-05,3.11121195576634e-06
MLP-Tiny,8,3,22.388059701492537,22.086720867208676,26927135,0.0005437551090713,0.0080119779942151,0.0001530145802583
MLP-Tiny,8,4,45.86160108548168,44.3089430894309,497798980,0.0014478619588571,0.0004174363025033,0.0005394799309146
MLP-Tiny,8,5,48.5753052917232,47.8319783197832,1176327730,0.001429265715827,0.0,8.944881217714453e-06
MLP-Tiny,8,6,54.2740841248304,51.0840108401084,399657849,0.0054824699953178,0.0003053481214971,0.0024034316692998
MLP-Tiny,8,7,49.11804613297151,51.0840108401084,1260451324,0.0372662569503073,0.0,1.611930185950092e-06
MLP-Tiny,8,8,51.01763907734057,46.7479674796748,1540220180,0.0013673076902309,0.0001551737866003,4.979184484549453e-05
MLP-Tiny,8,9,52.103120759837175,52.9810298102981,92007045,0.0313970227781578,0.0022078149563038,1.229660082846335e-06
MLP-Tiny,9,0,49.531459170013385,51.00401606425703,2034310415,0.0016258552043467,0.0001932053152999,1.1280139212479888e-06
MLP-Tiny,9,1,42.30254350736279,45.24765729585007,1379350543,0.001499266050597,0.0010269728456665,0.0001709815832425
MLP-Tiny,9,2,55.15394912985274,55.42168674698795,1768248870,0.0166257704696635,0.0001359169886452,0.0002426547652993
MLP-Tiny,9,3,51.13788487282464,50.60240963855421,1194409135,0.0016161751547018,1.9419708235123693e-05,0.0007583193451025
MLP-Tiny,9,4,52.610441767068274,53.94912985274431,823504636,0.0135953554351972,0.0004391932913506,8.480637931646249e-06
MLP-Tiny,9,5,14.457831325301203,14.99330655957162,1584920498,0.0001046882428305,0.0042663968730891,0.0049172635095189
MLP-Tiny,9,6,46.5863453815261,46.72021419009371,834421914,0.0004436846588179,1.988782064477801e-05,2.741108145718803e-06
MLP-Tiny,9,7,49.129852744310575,45.51539491298527,1193390788,0.0012646910325649,0.000217170204618,2.1902540250182426e-06
MLP-Tiny,9,8,22.08835341365462,21.285140562249,720221863,0.0003797894410588,0.0078240713655431,2.7195951193979884e-05
MLP-Tiny,9,9,51.40562248995984,52.20883534136546,1125005335,0.0152128117954425,1.0369096701127473e-05,1.4230923271237796e-05
MLP-Tiny,10,0,39.40217391304348,41.92672998643148,1259298575,0.0002181124312654,2.8219650448468414e-05,9.333598453728673e-05
MLP-Tiny,10,1,51.22282608695652,51.01763907734057,851413272,0.0011276869737253,0.0,0.0041094757812107
MLP-Tiny,10,2,54.34782608695652,54.68113975576662,2124218598,0.0114925672342266,1.6285934110330963e-05,0.0001248288048824
MLP-Tiny,10,3,54.21195652173913,52.5101763907734,1538689992,0.0041701364994463,0.0001178457928665,0.000348367355766
MLP-Tiny,10,4,32.880434782608695,36.09226594301221,207397619,0.0001342561475467,4.672097887004137e-05,0.0002692426705731
MLP-Tiny,10,5,54.755434782608695,53.86702849389417,981671397,0.0051986389786017,0.0,0.0005864012518293
MLP-Tiny,10,6,53.94021739130435,54.13839891451832,1912100809,0.0359253274183119,0.0,0.0046249656179078
MLP-Tiny,10,7,16.168478260869566,18.724559023066487,1289320918,0.000151849016721,0.0076592753645533,0.0002586697251238
MLP-Tiny,10,8,50.27173913043478,50.203527815468114,1398164745,0.0549714937682358,0.0,0.0045910869788157
MLP-Tiny,10,9,44.70108695652174,43.55495251017639,961651567,0.0004147599439501,0.0,0.0095185686951617
MLP-Tiny,11,0,46.97802197802198,46.15384615384615,1190973826,0.0995631599127155,0.0,6.7411022652447466e-06
MLP-Tiny,11,1,36.4010989010989,33.37912087912088,53426614,0.0001100509454364,0.0,0.0001301217847088
MLP-Tiny,11,2,50.13736263736264,53.98351648351648,1163710402,0.0525720480934407,0.0,0.0020030514245753
MLP-Tiny,11,3,53.84615384615385,52.60989010989011,1141560298,0.0168405600745212,0.0,0.0014141130274883
MLP-Tiny,11,4,19.917582417582416,20.05494505494505,1596427909,0.0001163943224277,0.0026000936008334,4.883662787568605e-06
MLP-Tiny,11,5,35.43956043956044,35.027472527472526,1412398215,0.001721651028261,0.0017285175788218,0.0003570704501204
MLP-Tiny,11,6,41.34615384615385,44.09340659340659,460381920,0.0004314646771837,0.0001647010133612,6.670249596420921e-06
MLP-Tiny,11,7,48.35164835164835,49.45054945054945,1927675525,0.0020054981152417,0.0,3.980764524056698e-05
MLP-Tiny,11,8,53.15934065934066,51.92307692307692,1535508891,0.0885546360624313,0.0015755581012446,0.0004883869328485
MLP-Tiny,11,9,32.82967032967033,32.28021978021978,772720831,0.0034931014078737,0.0058201643354502,4.290095297913257e-06
MLP-Tiny,12,0,24.79108635097493,21.16991643454039,1041061695,0.0002190670709547,0.0023329180827578,1.0354211933231513e-06
MLP-Tiny,12,1,44.56824512534819,42.33983286908078,1463289820,0.0003240868036062,7.771469276629235e-05,2.483921153033012e-05
MLP-Tiny,12,2,47.63231197771588,46.65738161559889,1327552065,0.0009538697546644,0.0,4.715016392221632e-05
MLP-Tiny,12,3,53.34261838440111,55.710306406685234,309449557,0.0069281433290439,1.6408587852023965e-05,0.0008672625804371
MLP-Tiny,12,4,50.83565459610028,54.17827298050139,1791322696,0.0074576163042389,0.0001169447657493,0.0002921289318743
MLP-Tiny,12,5,50.27855153203343,50.0,287503484,0.0016720785440801,0.0001693806504939,5.971262019559505e-06
MLP-Tiny,12,6,50.27855153203343,46.37883008356546,1853505807,0.0119624174663927,0.0023802079948733,0.0044294790364969
MLP-Tiny,12,7,52.36768802228412,55.2924791086351,97952883,0.020168403266387,3.527151155801508e-05,0.0013751529993666
MLP-Tiny,12,8,48.32869080779944,51.67130919220056,716411564,0.005420148265819,1.9616507910388417e-05,1.1503996504569508e-06
MLP-Tiny,12,9,45.82172701949861,44.15041782729805,2011314657,0.0034418681463895,0.0013459553823622,3.269147052093425e-06
MLP-Tiny,13,0,40.02770083102493,42.047026279391424,1895287742,0.0001412472782005,0.0,1.705445099080298e-06
MLP-Tiny,13,1,52.908587257617725,54.49515905947441,1102055914,0.0200331889456452,0.0004882137599251,0.0075176063999656
MLP-Tiny,13,2,49.58448753462604,50.20746887966805,1196346207,0.0017260734499569,0.0001106623306409,1.166027910491591e-05
MLP-Tiny,13,3,24.37673130193906,20.885200553250343,623228174,0.0002589356243719,0.0039003889986029,0.005407724840879
MLP-Tiny,13,4,43.62880886426593,45.36652835408022,1440336464,0.0001675423050335,0.0,4.1777862857273895e-05
