architecture,run,val_strategy_test_acc,test_strategy_test_acc,gap
MLP-Large,1,63.56275303643725,64.64237516869096,1.0796221322537107
MLP-Large,2,63.8700947225981,63.8700947225981,0.0
MLP-Large,3,60.81632653061224,62.31292517006803,1.4965986394557902
MLP-Large,4,61.793103448275865,65.24137931034483,3.448275862068961
MLP-Large,5,63.27372764786795,65.06189821182943,1.7881705639614793
MLP-Large,6,58.815612382234185,59.892328398384926,1.0767160161507405
MLP-Large,7,66.11111111111111,66.11111111111111,0.0
MLP-Large,8,57.67634854771784,60.85753803596127,3.181189488243426
MLP-Large,9,60.68027210884354,62.17687074829932,1.496598639455783
MLP-Large,10,61.33879781420765,61.33879781420765,0.0
MLP-Large,11,62.00814111261872,62.41519674355495,0.40705563093622743
MLP-Large,12,62.22826086956522,63.994565217391305,1.766304347826086
MLP-Large,13,63.98362892223738,63.98362892223738,0.0
MLP-Large,14,60.56149732620321,62.29946524064171,1.7379679144384994
MLP-Large,15,62.310866574965615,62.585969738652,0.27510316368638144
MLP-Large,16,61.92468619246862,62.06415620641562,0.13947001394699754
MLP-Large,17,59.945872801082544,60.351826792963465,0.40595399188092074
MLP-Large,18,59.75609756097561,60.43360433604336,0.6775067750677479
MLP-Large,19,60.78167115902965,60.78167115902965,0.0
MLP-Large,20,61.50740242261104,61.50740242261104,0.0
MLP-Large,21,59.437751004016064,59.97322623828648,0.5354752342704145
MLP-Large,22,65.80732700135685,65.80732700135685,0.0
MLP-Large,23,63.108108108108105,63.108108108108105,0.0
MLP-Large,24,62.672176308539946,64.60055096418733,1.9283746556473886
MLP-Large,25,60.69444444444444,61.388888888888886,0.6944444444444429
MLP-Large,26,63.40482573726541,63.40482573726541,0.0
MLP-Large,27,58.58453473132372,59.50196592398427,0.9174311926605512
MLP-Large,28,61.31687242798354,65.29492455418381,3.978052126200268
MLP-Large,29,61.86666666666667,61.86666666666667,0.0
MLP-Larger,0,65.58265582655827,65.58265582655827,0.0
MLP-Larger,1,63.85869565217392,64.2663043478261,0.40760869565217206
MLP-Larger,2,66.66666666666667,66.66666666666667,0.0
MLP-Larger,3,61.273209549071616,62.59946949602122,1.3262599469496053
