architecture,run,trial,val_acc,test_acc,train_seed,lr,weight_decay,momentum,max_steps
shake_shake_32d,3,15,92.592255953463,92.87402290492638,2042382851,0.0060442018598234,0.0005007565959112,0.8920946328356673,78570
shake_shake_32d,3,16,92.9830939829122,93.01945100890748,240043076,0.0179033271569735,4.075385487726361e-05,0.8658875553343356,133349
shake_shake_32d,3,17,94.99181966915108,95.30085439011089,1734113751,0.018265500425169,0.0025816722865207,0.8040652428149925,91986
shake_shake_32d,3,18,93.9738229412834,93.99200145428104,2060486544,0.0567053406178887,6.988971583799018e-05,0.8580237199936007,75661
shake_shake_32d,3,19,94.3737502272314,94.59189238320306,452774306,0.1733811070234417,4.384087731043975e-05,0.8762734686250074,84254
shake_shake_32d,3,20,94.13742955826211,93.91019814579168,1983982536,0.0051239040610555,7.003108742945787e-05,0.988499953276821,75522
shake_shake_32d,3,21,68.11488820214507,67.91492455917106,710766899,0.4397892408572187,0.0013057751353255,0.8942665250024531,97586
shake_shake_32d,3,22,74.35011816033449,74.92274131976005,256855388,0.1093547322085118,0.00146439219213,0.9569703022683178,140940
shake_shake_32d,3,23,94.90092710416288,95.34630067260498,208878118,0.4456774444824841,5.352626295624758e-05,0.9037705897355212,128063
shake_shake_32d,3,24,93.06489729140156,93.0830758043992,1990335153,0.0486379898093358,0.0009055056133229,0.9513879951500392,123682
shake_shake_32d,3,25,90.1199781857844,90.30176331576077,306646225,0.1190603699551052,0.0012149089502951,0.906826444054348,108320
shake_shake_32d,3,26,91.32884930012725,91.792401381567,1300464921,0.1217957053520219,0.0035149928240438,0.8042588140044175,77742
shake_shake_32d,3,27,94.68278494819124,95.08271223413924,1294631500,0.0210722174542884,0.000846754808808,0.8165816147993917,93207
shake_shake_32d,3,28,93.34666424286492,93.43755680785311,1290303687,0.0338141952909672,6.27175260886085e-05,0.8235342856598129,91600
shake_shake_32d,3,29,43.27395019087439,42.81039810943465,847905309,0.1114717019218155,0.0084924416583101,0.9269538384609138,109326
shake_shake_32d,4,0,94.55055671222956,94.81307142210557,251275319,0.03523778223738,0.0001624915778684,0.9108974517256948,100398
shake_shake_32d,4,1,94.44192993572916,94.88548927310582,937949015,0.0152659594793264,0.0001836530012177,0.934838158454121,139481
shake_shake_32d,4,2,94.80401919073051,95.0122205123563,173397851,0.115816955211215,5.917905467438335e-05,0.9033929982894964,131514
shake_shake_32d,4,3,84.19480401919073,85.23581062731964,1083196726,0.4037882939928734,0.0014573601722835,0.8096838038265776,108789
