val_trial,test_trial,new_trial,val_test_acc,test_test_acc,new_test_acc,val_cifar101_acc,test_cifar101_acc,new_cifar101_acc,n_trials,architecture,run,source
17,17,17,93.25699745547074,93.25699745547074,93.25699745547074,85.9,85.9,85.9,20,resnet_basic_32,18,random
16,16,16,93.1396506471174,93.1396506471174,93.1396506471174,85.3,85.3,85.3,20,resnet_basic_32,19,random
14,15,15,92.66901982079828,92.96768938365464,92.96768938365464,85.1,85.6,85.6,20,resnet_basic_32,20,random
2,15,0,92.8765880217786,93.35753176043558,93.10344827586206,84.9,84.7,86.45,20,resnet_basic_32,21,random
7,7,10,93.31757432493863,93.31757432493863,92.97208837167015,85.1,85.1,85.15,20,resnet_basic_32,22,random
8,6,4,92.9069662107075,93.16967116586648,92.40873267506116,83.7,84.45,84.85,20,resnet_basic_32,23,random
19,19,19,93.30324909747291,93.30324909747291,93.30324909747291,85.6,85.6,85.6,20,resnet_basic_32,24,random
12,5,12,92.86940804338003,93.14053321283326,92.86940804338003,85.3,85.1,85.3,20,resnet_basic_32,25,random
8,8,3,93.49352051835854,93.49352051835854,93.43952483801296,85.7,85.7,86.0,20,resnet_basic_32,26,random
10,10,16,93.21896162528216,93.21896162528216,93.15575620767494,85.3,85.3,85.5,20,resnet_basic_32,27,random
2,8,11,92.52769202832758,93.10877065552933,92.37334301797712,85.05,84.75,85.4,20,resnet_basic_32,28,random
12,3,12,93.28371755309492,93.29279361045562,93.28371755309492,85.65,83.45,85.65,20,resnet_basic_32,29,random
9,9,9,93.1967878733195,93.1967878733195,93.1967878733195,85.75,85.75,85.75,27,resnet_basic_44,0,random
11,5,11,93.8118138099991,93.91162326467652,93.8118138099991,86.65,85.2,86.65,29,resnet_basic_44,1,random
16,8,15,93.17851959361391,93.8044267053701,93.12409288824384,84.75,85.05,86.1,30,resnet_basic_44,2,random
19,16,19,93.33152615885064,93.394777265745,93.33152615885064,86.25,85.6,86.25,30,resnet_basic_44,3,random
6,6,19,94.37260972500457,94.37260972500457,93.79894372609724,85.9,85.9,86.2,27,resnet_basic_44,4,random
4,4,4,93.67732558139537,93.67732558139537,93.67732558139537,86.3,86.3,86.3,29,resnet_basic_44,5,random
28,28,2,93.71423380870198,93.71423380870198,93.5053138341357,85.75,85.75,87.3,29,resnet_basic_44,6,random
4,4,4,93.77034358047015,93.77034358047015,93.77034358047015,85.55,85.55,85.55,28,resnet_basic_44,7,random
29,8,8,93.49031730157289,93.7267024274934,93.7267024274934,85.75,86.05,86.05,30,resnet_basic_44,8,random
9,9,9,93.86792452830188,93.86792452830188,93.86792452830188,86.55,86.55,86.55,27,resnet_basic_44,9,random
23,17,17,93.7635771180304,93.881245474294,93.881245474294,85.15,86.25,86.25,29,resnet_basic_44,10,random
2,21,21,93.28883276204222,93.44217932527512,93.44217932527512,84.7,86.0,86.0,29,resnet_basic_44,11,random
9,20,16,93.29766007618356,93.4427716306911,93.21603482677308,85.9,85.8,86.05,28,resnet_basic_44,12,random
4,4,4,93.46738240378492,93.46738240378492,93.46738240378492,86.75,86.75,86.75,29,resnet_basic_44,13,random
8,8,0,93.4395077368564,93.4395077368564,93.3761650529364,85.45,85.45,86.4,30,resnet_basic_44,14,random
14,14,9,93.59971072138852,93.59971072138852,93.27427228349303,85.55,85.55,85.55,20,resnet_basic_44,15,random
5,5,14,93.6241610738255,93.6241610738255,93.34300743696716,85.75,85.75,86.5,20,resnet_basic_44,16,random
9,9,12,93.94352129301734,93.94352129301734,93.32606919095616,85.45,85.45,85.5,20,resnet_basic_44,17,random
14,14,14,93.62665218178526,93.62665218178526,93.62665218178526,86.0,86.0,86.0,20,resnet_basic_44,18,random
13,13,4,93.34666424286492,93.34666424286492,92.7831303399382,85.65,85.65,85.75,19,resnet_basic_44,19,random
0,0,0,93.5693641618497,93.5693641618497,93.5693641618497,85.95,85.95,85.95,20,resnet_basic_44,20,random
8,13,8,93.4982267891243,93.60734745839774,93.4982267891243,85.75,85.05,85.75,20,resnet_basic_44,21,random
