architecture,run,val_strategy_test_acc,test_strategy_test_acc,gap
resnet_basic_20,1,92.31397459165154,92.31397459165154,0.0
resnet_basic_20,2,92.6093241778099,92.90748102638236,0.29815684857246083
resnet_basic_20,3,92.27572499774143,92.40220435450355,0.1264793567621183
resnet_basic_20,4,92.12983951400852,92.8007978964548,0.6709583824462726
resnet_basic_20,5,92.5892535160476,92.60728452939055,0.018031013342948654
resnet_basic_20,6,92.5684838622186,92.82162553114549,0.2531416689268866
resnet_basic_20,7,92.04339963833635,92.05244122965642,0.009041591320070097
resnet_basic_20,8,92.32304900181488,92.66787658802178,0.3448275862069039
resnet_basic_20,9,92.61280931586607,92.858442503639,0.2456331877729241
resnet_basic_20,10,92.56100879978229,92.56100879978229,0.0
resnet_basic_20,11,91.913090515687,92.47205192931844,0.5589614136314367
resnet_basic_20,12,92.52532627544036,92.52532627544036,0.0
resnet_basic_20,13,92.23037218147245,92.46581544870054,0.23544326722809217
resnet_basic_20,14,92.31329027562995,92.55890111889384,0.24561084326388993
resnet_basic_20,15,92.01191443271054,92.13827962812528,0.1263651954147349
resnet_basic_20,16,92.5090579710145,92.83514492753623,0.3260869565217348
resnet_basic_20,17,92.41211903263508,92.41211903263508,0.0
resnet_basic_20,18,92.07588272669511,92.07588272669511,0.0
resnet_basic_20,19,91.92816978051876,92.2909486667876,0.3627788862688419
resnet_basic_20,20,92.5231103860794,92.80406017763278,0.2809497915533825
resnet_basic_20,21,92.58655066159145,92.66811673010696,0.08156606851551373
resnet_basic_20,22,92.11073916583732,92.1831177056003,0.0723785397629797
resnet_basic_20,23,92.13910523455895,92.41079514580692,0.27168991124796094
resnet_basic_20,24,92.62162162162164,92.62162162162164,0.0
resnet_basic_20,25,92.15313603041,92.26174314417594,0.10860711376594168
resnet_basic_20,26,92.88699127906976,92.88699127906976,0.0
resnet_basic_20,27,92.175728419715,92.58418807297812,0.4084596532631224
resnet_basic_20,28,92.63148366072237,92.63148366072237,0.0
resnet_basic_20,29,92.259471245571,92.259471245571,0.0
mobilenetv2,0,94.08738039357284,94.30402599747246,0.21664560389962162
mobilenetv2,1,94.38344977769712,94.38344977769712,0.0
mobilenetv2,2,94.76786361987668,94.86760972071092,0.0997461008342384
mobilenetv2,3,94.54297407912688,94.85220554797635,0.3092314688494753
mobilenetv2,4,94.30717712010136,94.3524300841705,0.04525296406914947
mobilenetv2,5,94.3786443148688,94.3786443148688,0.0
mobilenetv2,6,94.65173005691572,94.65173005691572,0.0
mobilenetv2,7,94.5985005871195,94.5985005871195,0.0
mobilenetv2,8,94.30431244914564,94.30431244914564,0.0
mobilenetv2,9,94.3064369900272,94.3064369900272,0.0
mobilenetv2,10,94.03603603603604,94.27927927927928,0.2432432432432421
mobilenetv2,11,94.52591310684032,94.52591310684032,0.0
mobilenetv2,12,94.06281111412798,94.40673364105348,0.3439225269254962
mobilenetv2,13,94.08675178846327,94.3674726070814,0.28072081861812137
mobilenetv2,14,94.88502625384754,94.88502625384754,0.0
